,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,1,0,2.338810443878174,64,7,0.109375,2.338810443878174,64,7.0,0.109375,0.9948409799999354,0.9948409799999354
0,1,1,2.2818896770477295,64,10,0.15625,2.3103500604629517,128,17.0,0.1328125,0.1779228699997475,1.1727638499996829
0,1,2,2.329972743988037,64,8,0.125,2.3168909549713135,192,25.0,0.13020833333333334,0.1788281539993477,1.3515920039990306
0,1,3,2.227466583251953,64,5,0.078125,2.2945348620414734,256,30.0,0.1171875,0.1771965679999994,1.52878857199903
0,1,4,2.1560721397399902,64,16,0.25,2.266842317581177,320,46.0,0.14375,0.17605953000020236,1.7048481019992323
0,1,5,2.13167405128479,64,7,0.109375,2.244314273198446,384,53.0,0.13802083333333334,0.18546453400085738,1.8903126360000897
0,1,6,2.3299882411956787,64,11,0.171875,2.2565534114837646,448,64.0,0.14285714285714285,0.18094738699983282,2.0712600229999225
0,1,7,2.328455686569214,64,9,0.140625,2.265541195869446,512,73.0,0.142578125,0.17846944099983375,2.2497294639997563
0,1,8,2.1765811443328857,64,11,0.171875,2.255656745698717,576,84.0,0.14583333333333334,0.17729278399929171,2.427022247999048
0,1,9,2.2100484371185303,64,12,0.1875,2.251095914840698,640,96.0,0.15,0.17737406600099348,2.6043963140000415
0,1,10,2.2173585891723633,64,14,0.21875,2.248028885234486,704,110.0,0.15625,0.17816602600032638,2.782562340000368
0,1,11,2.113762378692627,64,18,0.28125,2.236840009689331,768,128.0,0.16666666666666666,0.17740781900101865,2.9599701590013865
0,1,12,2.06294846534729,64,12,0.1875,2.2234637370476356,832,140.0,0.16826923076923078,0.18592969000019366,3.14589984900158
0,1,13,2.039155960083008,64,14,0.21875,2.2102988958358765,896,154.0,0.171875,0.18576239100002567,3.331662240001606
0,1,14,2.172518491744995,64,16,0.25,2.207780202229818,960,170.0,0.17708333333333334,0.1793811130009999,3.5110433530026057
0,1,15,2.110442876815796,64,11,0.171875,2.2016966193914413,1024,181.0,0.1767578125,0.19225646599988977,3.7032998190024955
