epoch_num,rank_num,Loss,Total,Correct,Acc@1,TrainingTime
0,0,1.7792345077563554,12480,4306.0,0.3450320512820513,36.37542349098476
0,1,1.772515890537164,12480,4439.0,0.3556891025641026,36.151356655997006
0,2,1.7632585757817978,12480,4469.0,0.3580929487179487,36.525164095000946
0,3,1.7676940557284233,12480,4479.0,0.35889423076923077,37.038635359002
1,0,1.4169714340796837,12480,6117.0,0.49014423076923075,35.84221018401149
1,1,1.4253205354397114,12480,6045.0,0.484375,35.531639516013456
1,2,1.4193672705919316,12480,6175.0,0.4947916666666667,35.87721000798956
1,3,1.4202500361662644,12480,6112.0,0.4897435897435897,36.32675458700214
2,0,1.2729375869799884,12480,6847.0,0.5486378205128205,35.79538386999775
2,1,1.2602321135692107,12480,6808.0,0.5455128205128205,35.41648015800092
2,2,1.275278117106511,12480,6803.0,0.5451121794871795,35.8784512289767
2,3,1.2769011460817776,12480,6724.0,0.5387820512820513,36.29110202700758
3,0,1.1841610590616862,12480,7226.0,0.5790064102564103,35.79031895099433
3,1,1.1693821121484806,12480,7212.0,0.5778846153846153,35.54333160600254
3,2,1.1680255082937387,12480,7235.0,0.5797275641025641,35.858352594999815
3,3,1.1777908502480923,12480,7240.0,0.5801282051282052,36.28281291398707
4,0,1.0953928015170953,12480,7551.0,0.6050480769230769,35.75182691799273
4,1,1.109951475950388,12480,7579.0,0.6072916666666667,35.49998825399234
4,2,1.0570581460610413,12480,7843.0,0.6284455128205129,35.79629458199997
4,3,1.0946436992058388,12480,7631.0,0.6114583333333333,36.21169133998956
5,0,1.0280556470919877,12480,7906.0,0.6334935897435897,35.91672417400696
5,1,1.0217672522251422,12480,8002.0,0.6411858974358975,35.45953307101627
5,2,1.0101676457967514,12480,7984.0,0.6397435897435897,35.782029655998485
5,3,1.036247556637495,12480,7903.0,0.6332532051282052,36.134209047000695
6,0,0.9693875930248163,12480,8193.0,0.6564903846153847,35.766792424017694
6,1,0.9795127138113364,12480,8121.0,0.6507211538461538,35.404019896002865
6,2,0.9623694150875777,12480,8237.0,0.6600160256410257,35.8575935469853
6,3,0.9635030367435553,12480,8173.0,0.6548878205128205,36.154040129997156
7,0,0.9092623484440339,12480,8475.0,0.6790865384615384,35.77571703299327
7,1,0.927166712589753,12480,8392.0,0.6724358974358975,35.53037722199042
7,2,0.9325017999380063,12480,8346.0,0.66875,35.90012315999775
7,3,0.9226257315048805,12480,8450.0,0.6770833333333334,36.21477655500894
8,0,0.8744671162886497,12480,8638.0,0.6921474358974359,35.78576654400422
8,1,0.8838900284889417,12480,8587.0,0.6880608974358975,35.408848370007036
8,2,0.8733082166084877,12480,8598.0,0.6889423076923077,35.79106804298863
8,3,0.8768620900618724,12480,8622.0,0.6908653846153846,36.139275552986874
9,0,0.8305112484173897,12480,8848.0,0.708974358974359,35.62277204400198
9,1,0.8272265718533443,12480,8821.0,0.7068108974358974,35.661185413002386
9,2,0.8364869493704575,12480,8816.0,0.7064102564102565,35.82529539499956
9,3,0.8439848371041127,12480,8738.0,0.7001602564102564,36.3421836250036
10,0,0.7832817051655206,12480,9010.0,0.7219551282051282,35.652195355987715
10,1,0.796732042538814,12480,8960.0,0.717948717948718,35.33960109900181
10,2,0.7978427387200869,12480,8969.0,0.7186698717948717,35.82958060900455
10,3,0.7820821500741518,12480,9010.0,0.7219551282051282,36.17788668498906
11,0,0.7586307229139866,12480,9155.0,0.733573717948718,35.74008580601185
11,1,0.7577611553363311,12480,9142.0,0.7325320512820512,35.586224054988634
11,2,0.751452251122548,12480,9223.0,0.7390224358974359,35.9143648489935
11,3,0.7649535581087454,12480,9080.0,0.7275641025641025,36.233422663000965
12,0,0.7118061747306432,12480,9359.0,0.7499198717948717,35.53654579199247
12,1,0.7077739169964423,12480,9370.0,0.750801282051282,35.4778080640026
12,2,0.6972664021528684,12480,9403.0,0.7534455128205129,35.794634921006946
12,3,0.7261618291720365,12480,9291.0,0.7444711538461538,36.163800100019216
13,0,0.6837153512697953,12480,9485.0,0.7600160256410257,35.65184805101126
13,1,0.6869173896618378,12480,9441.0,0.7564903846153846,35.39902904401788
13,2,0.672259423060295,12480,9524.0,0.7631410256410256,35.86652521901124
13,3,0.6825230173575573,12480,9505.0,0.7616185897435898,36.30533112599551
14,0,0.6584202350714268,12480,9585.0,0.7680288461538461,35.52055549601209
14,1,0.6475901371393449,12480,9622.0,0.7709935897435898,35.33447425200211
14,2,0.6468926286086057,12480,9600.0,0.7692307692307693,35.69993869400423
14,3,0.6488109020086436,12480,9586.0,0.7681089743589744,35.97848784999951
15,0,0.6164026538530986,12480,9753.0,0.7814903846153847,35.54094104200158
15,1,0.6167308183816763,12480,9771.0,0.7829326923076924,35.35157907999019
15,2,0.6144071303881131,12480,9762.0,0.7822115384615385,35.78384685700257
15,3,0.6219916870960822,12480,9712.0,0.7782051282051282,36.20722956699865
16,0,0.5763917858784016,12480,9977.0,0.7994391025641026,35.55606198100759
16,1,0.5941267533180041,12480,9833.0,0.7879006410256411,35.42772067099031
16,2,0.5910735822640932,12480,9869.0,0.7907852564102564,35.90386903997569
16,3,0.5800390457495664,12480,9858.0,0.7899038461538461,36.16249781901388
17,0,0.5621529450783362,12480,10058.0,0.8059294871794872,35.61670228199728
17,1,0.5532313157350589,12480,10080.0,0.8076923076923077,35.39351363501737
17,2,0.5432695725025275,12480,10110.0,0.8100961538461539,35.9952973019881
17,3,0.5558633286219377,12480,10057.0,0.8058493589743589,36.239143578008225
18,0,0.5254931727280984,12480,10216.0,0.8185897435897436,35.787081391001266
18,1,0.5313565228229914,12480,10130.0,0.811698717948718,35.35869505501432
18,2,0.5225464507555351,12480,10114.0,0.8104166666666667,35.77042964900647
18,3,0.5320729738626725,12480,10210.0,0.8181089743589743,36.32873674600887
19,0,0.5004085659980774,12480,10291.0,0.824599358974359,35.74878287199681
19,1,0.5035944231045552,12480,10281.0,0.8237980769230769,35.46445685299477
19,2,0.5026642790971658,12480,10297.0,0.8250801282051282,35.62080487700587
19,3,0.49893618478224827,12480,10296.0,0.825,36.15708076800547
20,0,0.4818367594327682,12480,10392.0,0.8326923076923077,35.69717105199925
20,1,0.48801887661982807,12480,10307.0,0.8258814102564103,35.35392439599673
20,2,0.4848119720434531,12480,10287.0,0.8242788461538462,35.696056010989196
20,3,0.47557283846231607,12480,10438.0,0.8363782051282052,36.106831179002256
21,0,0.4641811130902706,12480,10440.0,0.8365384615384616,35.649800499004414
21,1,0.464018851518631,12480,10430.0,0.8357371794871795,35.465380853982424
21,2,0.4695887681765434,12480,10403.0,0.8335737179487179,35.79817475399432
21,3,0.4719421634307274,12480,10455.0,0.8377403846153846,36.29329182798938
22,0,0.442946662963965,12480,10500.0,0.8413461538461539,35.63374233200739
22,1,0.460121227762638,12480,10494.0,0.8408653846153846,35.29831002499486
22,2,0.4637147307395935,12480,10454.0,0.8376602564102564,35.843146853007056
22,3,0.4554993234383754,12480,10491.0,0.840625,36.22375085999738
23,0,0.45021944489234533,12480,10505.0,0.8417467948717948,35.75999171600051
23,1,0.46081946530403234,12480,10468.0,0.8387820512820513,35.492909704980775
23,2,0.44564449649590715,12480,10583.0,0.8479967948717949,35.678928687992084
23,3,0.43650017304298205,12480,10573.0,0.8471955128205129,36.239907215980566
