,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,1,0,2.2974352836608887,64,5,0.078125,2.2974352836608887,64,5.0,0.078125,0.9458294620017114,0.9458294620017114
0,1,1,2.3829500675201416,64,9,0.140625,2.340192675590515,128,14.0,0.109375,0.19739395099895773,1.143223413000669
0,1,2,2.2416019439697266,64,10,0.15625,2.3073290983835855,192,24.0,0.125,0.19041545399886672,1.3336388669995358
0,1,3,2.2228689193725586,64,8,0.125,2.286214053630829,256,32.0,0.125,0.1917005559989775,1.5253394229985133
0,1,4,2.2210655212402344,64,15,0.234375,2.27318434715271,320,47.0,0.146875,0.19194435900135431,1.7172837819998676
0,1,5,2.1785614490509033,64,7,0.109375,2.257413864135742,384,54.0,0.140625,0.19257103400013875,1.9098548160000064
0,1,6,2.2271804809570312,64,13,0.203125,2.253094809395926,448,67.0,0.14955357142857142,0.1915305990005436,2.10138541500055
0,1,7,2.2907581329345703,64,6,0.09375,2.257802724838257,512,73.0,0.142578125,0.1920223769993754,2.2934077919999254
0,1,8,2.181147813796997,64,9,0.140625,2.249285512500339,576,82.0,0.1423611111111111,0.19260846999895875,2.486016261998884
0,1,9,2.2631940841674805,64,8,0.125,2.2506763696670533,640,90.0,0.140625,0.19266315799904987,2.678679419997934
0,1,10,2.1844699382781982,64,10,0.15625,2.2446576031771572,704,100.0,0.14204545454545456,0.21209340499990503,2.890772824997839
0,1,11,2.115520477294922,64,12,0.1875,2.233896176020304,768,112.0,0.14583333333333334,0.19111176899968996,3.081884593997529
0,1,12,2.0053439140319824,64,16,0.25,2.2163152327904334,832,128.0,0.15384615384615385,0.19738329100073315,3.279267884998262
0,1,13,2.0269033908843994,64,14,0.21875,2.202785815511431,896,142.0,0.15848214285714285,0.19313419299942325,3.4724020779976854
0,1,14,2.132869005203247,64,14,0.21875,2.1981246948242186,960,156.0,0.1625,0.19148090800081263,3.663882985998498
0,1,15,2.091355085372925,64,15,0.234375,2.191451594233513,1024,171.0,0.1669921875,0.19752228800280136,3.8614052740012994
0,1,16,2.127537488937378,64,13,0.203125,2.187691940980799,1088,184.0,0.16911764705882354,0.19249428200055263,4.053899556001852
0,1,17,2.082110643386841,64,13,0.203125,2.1818263133366904,1152,197.0,0.17100694444444445,0.1996655830007512,4.253565139002603
0,1,18,1.8651056289672852,64,21,0.328125,2.1651568036330375,1216,218.0,0.17927631578947367,0.19947036499797832,4.453035504000582
0,1,19,2.0244805812835693,64,17,0.265625,2.158122992515564,1280,235.0,0.18359375,0.1930961380021472,4.646131642002729
0,1,20,1.9893560409545898,64,11,0.171875,2.1500864710126604,1344,246.0,0.18303571428571427,0.1944324879987107,4.8405641300014395
0,1,21,2.191957950592041,64,11,0.171875,2.1519897200844507,1408,257.0,0.1825284090909091,0.19395729200186906,5.0345214220033085
0,1,22,2.0180912017822266,64,15,0.234375,2.146168045375658,1472,272.0,0.18478260869565216,0.19988998799817637,5.234411410001485
0,1,23,1.8416733741760254,64,24,0.375,2.1334807674090066,1536,296.0,0.19270833333333334,0.19461315800072043,5.429024568002205
0,1,24,2.017542839050293,64,18,0.28125,2.128843250274658,1600,314.0,0.19625,0.19135293099679984,5.620377498999005
0,1,25,1.9812452793121338,64,19,0.296875,2.123166405237638,1664,333.0,0.20012019230769232,0.1980057310029224,5.818383230001928
0,1,26,2.0182414054870605,64,16,0.25,2.119280294135765,1728,349.0,0.2019675925925926,0.20420966500023496,6.0225928950021625
0,1,27,2.0262739658355713,64,14,0.21875,2.115958639553615,1792,363.0,0.20256696428571427,0.1985286589988391,6.221121554001002
0,1,28,2.0097784996032715,64,17,0.265625,2.1122972554173964,1856,380.0,0.20474137931034483,0.1922656900023867,6.413387244003388
0,1,29,2.1487090587615967,64,12,0.1875,2.1135109821955362,1920,392.0,0.20416666666666666,0.1938511299995298,6.607238374002918
0,1,30,1.9127247333526611,64,16,0.25,2.1070340064264115,1984,408.0,0.2056451612903226,0.1961529239997617,6.80339129800268
0,1,31,1.853164792060852,64,26,0.40625,2.0991005934774876,2048,434.0,0.2119140625,0.19423000599999796,6.997621304002678
0,1,32,1.790465235710144,64,22,0.34375,2.089748006878477,2112,456.0,0.2159090909090909,0.19526279499768862,7.192884099000366
0,1,33,1.8567386865615845,64,20,0.3125,2.0828947915750393,2176,476.0,0.21875,0.1948243539991381,7.3877084529995045
0,1,34,1.82269287109375,64,22,0.34375,2.0754604509898593,2240,498.0,0.22232142857142856,0.20305875499980175,7.590767207999306
0,1,35,1.9813227653503418,64,14,0.21875,2.072845515277651,2304,512.0,0.2222222222222222,0.19990072899963707,7.790667936998943
0,1,36,2.0852065086364746,64,15,0.234375,2.0731795961792403,2368,527.0,0.22255067567567569,0.19353587700243224,7.984203814001376
0,1,37,1.9534685611724854,64,16,0.25,2.0700293057843258,2432,543.0,0.22327302631578946,0.1941124260010838,8.17831624000246
0,1,38,1.7119187116622925,64,26,0.40625,2.06084698285812,2496,569.0,0.22796474358974358,0.19535334700049134,8.37366958700295
0,1,39,1.9356672763824463,64,18,0.28125,2.057717490196228,2560,587.0,0.229296875,0.19303694200061727,8.566706529003568
0,1,40,1.8359386920928955,64,18,0.28125,2.052308251218098,2624,605.0,0.2305640243902439,0.1938358759980474,8.760542405001615
0,1,41,1.8130748271942139,64,23,0.359375,2.0466122173127674,2688,628.0,0.23363095238095238,0.20083558600163087,8.961377991003246
0,1,42,1.9932736158370972,64,19,0.296875,2.04537178472031,2752,647.0,0.2351017441860465,0.19824942400009604,9.159627415003342
0,1,43,1.8328959941864014,64,22,0.34375,2.0405427894809027,2816,669.0,0.23757102272727273,0.19621975799964275,9.355847173002985
0,1,44,1.85228431224823,64,22,0.34375,2.036359267764621,2880,691.0,0.23993055555555556,0.19698532500115107,9.552832498004136
0,1,45,1.9958338737487793,64,19,0.296875,2.03547828093819,2944,710.0,0.24116847826086957,0.19654639800137375,9.74937889600551
