epoch_num,rank_num,Loss,Total,Correct,Acc@1,TrainingTime
0,0,1.8591040067183666,12480,3971.0,0.31818910256410254,43.15133172303467
0,1,1.8556916817640647,12480,3948.0,0.31634615384615383,42.86685618602132
0,2,1.8377241941598745,12480,4029.0,0.3228365384615385,43.45037769400733
0,3,1.8432358466661893,12480,4034.0,0.3232371794871795,43.06520235801872
1,0,1.5388402248040223,12480,5530.0,0.44310897435897434,42.174459400008345
1,1,1.5456412584353716,12480,5452.0,0.43685897435897436,41.599083817000064
1,2,1.5350156973569822,12480,5548.0,0.444551282051282,42.09884440597307
1,3,1.5408422194994413,12480,5541.0,0.4439903846153846,42.74132079504852
2,0,1.404932194489699,12480,6221.0,0.4984775641025641,42.41040363696084
2,1,1.3997709800035525,12480,6139.0,0.49190705128205126,41.50168039100754
2,2,1.3992763403134467,12480,6160.0,0.4935897435897436,42.02925984599278
2,3,1.4127761889726689,12480,6129.0,0.4911057692307692,42.66139821800243
3,0,1.330688372025123,12480,6532.0,0.5233974358974359,42.23837641099453
3,1,1.311942010659438,12480,6575.0,0.5268429487179487,41.41223248499591
3,2,1.3155823096250876,12480,6578.0,0.5270833333333333,41.96052977497675
3,3,1.315819322757232,12480,6614.0,0.5299679487179487,42.687183694964915
4,0,1.2523027288608062,12480,6830.0,0.5472756410256411,42.34454398700473
4,1,1.2673803583169594,12480,6803.0,0.5451121794871795,41.58383293101724
4,2,1.2116032490363489,12480,7075.0,0.5669070512820513,42.04279647501244
4,3,1.2453707068394393,12480,6909.0,0.5536057692307692,42.72512721293606
5,0,1.1974584120970506,12480,7137.0,0.571875,42.27399085498109
5,1,1.1949543879582332,12480,7184.0,0.5756410256410256,41.51696386301046
5,2,1.1825646501321059,12480,7175.0,0.5749198717948718,42.0191152320258
5,3,1.1949932037255704,12480,7070.0,0.5665064102564102,42.688762247998966
6,0,1.1504775111491863,12480,7336.0,0.5878205128205128,42.364385064007365
6,1,1.1537746456953195,12480,7376.0,0.591025641025641,41.45497024800716
6,2,1.1290169453009582,12480,7400.0,0.592948717948718,42.06861639600538
6,3,1.1420302650867364,12480,7383.0,0.5915865384615384,42.70859051098887
7,0,1.0907831781949753,12480,7626.0,0.6110576923076924,42.251451282991184
7,1,1.1071932655114394,12480,7539.0,0.6040865384615385,41.521478612990904
7,2,1.0937698422334132,12480,7572.0,0.6067307692307692,42.0942578100221
7,3,1.113696446479895,12480,7453.0,0.5971955128205129,42.58371369302404
8,0,1.0537405365552657,12480,7843.0,0.6284455128205129,42.218527635963255
8,1,1.0562018868250724,12480,7724.0,0.6189102564102564,41.53424155799439
8,2,1.047387275329003,12480,7780.0,0.6233974358974359,41.99632515202393
8,3,1.0653839465899346,12480,7689.0,0.6161057692307692,42.47233619397957
9,0,1.016410502103659,12480,7943.0,0.6364583333333333,42.250743599044654
9,1,1.0054116420256787,12480,7975.0,0.6390224358974359,41.42397950400118
9,2,1.0221853338755094,12480,7855.0,0.6294070512820513,42.0335993790286
9,3,1.0296359114157847,12480,7837.0,0.6279647435897436,42.50579309500972
10,0,0.9691737257517301,12480,8135.0,0.6518429487179487,42.3189963980185
10,1,0.9762728642194699,12480,8127.0,0.651201923076923,41.47805057300138
10,2,0.9826081832249959,12480,8060.0,0.6458333333333334,42.068097881008725
10,3,0.960081581885998,12480,8163.0,0.6540865384615384,42.5015702339806
11,0,0.9335569051595834,12480,8286.0,0.6639423076923077,42.30864201202348
11,1,0.9282362277691181,12480,8321.0,0.6667467948717949,41.39914699399014
11,2,0.931381654433715,12480,8309.0,0.6657852564102564,42.04207604101612
11,3,0.9320276043353937,12480,8326.0,0.6671474358974359,42.647291162043985
12,0,0.893866152029771,12480,8483.0,0.6797275641025641,42.172664190013165
12,1,0.8976971167784471,12480,8481.0,0.6795673076923077,41.56528035203519
12,2,0.8776298101131733,12480,8585.0,0.6879006410256411,42.17090394899424
12,3,0.8923814785786164,12480,8487.0,0.6800480769230769,42.507284917002835
13,0,0.8623101096886855,12480,8567.0,0.6864583333333333,42.2532669680113
13,1,0.8606341319206433,12480,8603.0,0.6893429487179488,41.40573377700275
13,2,0.8511275111100612,12480,8703.0,0.6973557692307693,42.05533680799272
13,3,0.8492442299158145,12480,8695.0,0.6967147435897436,42.52952085401921
14,0,0.8215086374527368,12480,8816.0,0.7064102564102565,42.30480799802899
14,1,0.8213590638759809,12480,8819.0,0.706650641025641,41.46921822301374
14,2,0.8100568398451193,12480,8899.0,0.7130608974358974,42.087850360963785
14,3,0.8236731562858973,12480,8855.0,0.7095352564102564,42.54281724100656
15,0,0.777922871021124,12480,9008.0,0.7217948717948718,42.17821552600071
15,1,0.7670221163676335,12480,9040.0,0.7243589743589743,41.40643456599719
15,2,0.7771134558396462,12480,9025.0,0.7231570512820513,41.91194917796747
15,3,0.788721903318014,12480,8990.0,0.7203525641025641,42.48947414095164
16,0,0.7404559992826902,12480,9143.0,0.7326121794871795,42.12307142700956
16,1,0.7505963246027628,12480,9144.0,0.7326923076923076,41.36835872301526
16,2,0.742836122176586,12480,9163.0,0.7342147435897436,41.939681745996495
16,3,0.7438828391906542,12480,9131.0,0.731650641025641,42.56037896597991
17,0,0.713029346557764,12480,9299.0,0.7451121794871794,42.14116411199939
17,1,0.7159487328468225,12480,9282.0,0.74375,41.458686319987464
17,2,0.7091462813890897,12480,9289.0,0.7443108974358974,41.88350739998714
17,3,0.708493133691641,12480,9319.0,0.7467147435897435,42.53024354000081
18,0,0.6760685067910415,12480,9471.0,0.7588942307692308,42.117574245963624
