,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,1,0,2.4151501655578613,64,6,0.09375,2.4151501655578613,64,6.0,0.09375,0.948550075001549,0.948550075001549
0,1,1,2.3430097103118896,64,6,0.09375,2.3790799379348755,128,12.0,0.09375,0.19602247399961925,1.1445725490011682
0,1,2,2.4316887855529785,64,7,0.109375,2.396616220474243,192,19.0,0.09895833333333333,0.19137444199805032,1.3359469909992185
0,1,3,2.3306188583374023,64,13,0.203125,2.380116879940033,256,32.0,0.125,0.19785930500074755,1.533806295999966
0,1,4,2.2476139068603516,64,13,0.203125,2.3536162853240965,320,45.0,0.140625,0.19268161400032113,1.7264879100002872
0,1,5,2.1854188442230225,64,8,0.125,2.3255833784739175,384,53.0,0.13802083333333334,0.19197564799833344,1.9184635579986207
0,1,6,2.3372690677642822,64,7,0.109375,2.3272527626582553,448,60.0,0.13392857142857142,0.19133377500111237,2.109797332999733
0,1,7,2.334679365158081,64,6,0.09375,2.3281810879707336,512,66.0,0.12890625,0.20545612899877597,2.315253461998509
0,1,8,2.1624135971069336,64,15,0.234375,2.309762477874756,576,81.0,0.140625,0.19144443500044872,2.5066978969989577
0,1,9,2.284851312637329,64,6,0.09375,2.307271361351013,640,87.0,0.1359375,0.19178510699930484,2.6984830039982626
0,1,10,2.1873486042022705,64,15,0.234375,2.296369292519309,704,102.0,0.14488636363636365,0.20767468600024586,2.9061576899985084
0,1,11,2.122112512588501,64,10,0.15625,2.281847894191742,768,112.0,0.14583333333333334,0.19364091600073152,3.09979860599924
0,1,12,2.0591092109680176,64,12,0.1875,2.2647141493283787,832,124.0,0.14903846153846154,0.19162942600087263,3.2914280320001126
0,1,13,2.049137592315674,64,13,0.203125,2.249315823827471,896,137.0,0.15290178571428573,0.19322689500040724,3.48465492700052
0,1,14,2.1064062118530273,64,17,0.265625,2.239788516362508,960,154.0,0.16041666666666668,0.19104859000071883,3.6757035170012387
0,1,15,2.1905477046966553,64,11,0.171875,2.2367109656333923,1024,165.0,0.1611328125,0.19228151299830643,3.867985029999545
0,1,16,2.127171277999878,64,10,0.15625,2.230267454596127,1088,175.0,0.16084558823529413,0.19326740299948142,4.0612524329990265
0,1,17,2.110837697982788,64,16,0.25,2.223632468117608,1152,191.0,0.1657986111111111,0.19374207700093393,4.25499450999996
0,1,18,1.9562121629714966,64,17,0.265625,2.209557715215181,1216,208.0,0.17105263157894737,0.1917679100006353,4.446762420000596
0,1,19,2.1059017181396484,64,11,0.171875,2.2043749153614045,1280,219.0,0.17109375,0.1952547010005219,4.642017121001118
0,1,20,2.0936598777770996,64,13,0.203125,2.199102770714533,1344,232.0,0.17261904761904762,0.19297949400061043,4.834996615001728
0,1,21,2.2197258472442627,64,14,0.21875,2.200040183284066,1408,246.0,0.1747159090909091,0.19245968199902563,5.027456297000754
0,1,22,2.0940520763397217,64,16,0.25,2.1954320047212685,1472,262.0,0.17798913043478262,0.19461191699883784,5.2220682139995915
