,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,0,0,2.4885830879211426,64,4,0.0625,2.4885830879211426,64,4.0,0.0625,1.0973790319994805,1.0973790319994805
0,0,1,2.3779587745666504,64,11,0.171875,2.4332709312438965,128,15.0,0.1171875,0.2913665609994496,1.38874559299893
0,0,2,2.403078317642212,64,15,0.234375,2.4232067267100015,192,30.0,0.15625,0.28126486399924033,1.6700104569981704
0,0,3,2.418198823928833,64,9,0.140625,2.4219547510147095,256,39.0,0.15234375,0.28513554699929955,1.95514600399747
0,0,4,2.3896872997283936,64,7,0.109375,2.415501260757446,320,46.0,0.14375,0.281823366000026,2.236969369997496
0,0,5,2.375206708908081,64,7,0.109375,2.4087855021158853,384,53.0,0.13802083333333334,0.2824530540001433,2.5194224239976393
0,0,6,2.142896890640259,64,11,0.171875,2.3708014147622243,448,64.0,0.14285714285714285,0.28700122099962755,2.806423644997267
0,0,7,2.1702818870544434,64,13,0.203125,2.345736473798752,512,77.0,0.150390625,0.28159729599974526,3.088020940997012
0,0,8,2.139960765838623,64,14,0.21875,2.3228725062476263,576,91.0,0.1579861111111111,0.2845877859999746,3.3726087269969867
0,0,9,2.3210270404815674,64,8,0.125,2.3226879596710206,640,99.0,0.1546875,0.28320689399970433,3.655815620996691
0,0,10,2.204660177230835,64,13,0.203125,2.311958161267367,704,112.0,0.1590909090909091,0.2832515580003019,3.939067178996993
0,0,11,2.174461841583252,64,13,0.203125,2.300500134627024,768,125.0,0.16276041666666666,0.28135941099935735,4.22042658999635
0,0,12,2.1951568126678467,64,11,0.171875,2.292396802168626,832,136.0,0.16346153846153846,0.2821696460005114,4.502596235996862
0,0,13,2.220432996749878,64,19,0.296875,2.2872565303530012,896,155.0,0.17299107142857142,0.28166752600009204,4.784263761996954
0,0,14,2.1180224418640137,64,13,0.203125,2.2759742577870687,960,168.0,0.175,0.28102497500003665,5.06528873699699
0,0,15,2.0736536979675293,64,13,0.203125,2.2633292227983475,1024,181.0,0.1767578125,0.2826090299995485,5.347897766996539
0,0,16,2.0237951278686523,64,15,0.234375,2.24923898192013,1088,196.0,0.1801470588235294,0.28271912499985774,5.630616891996397
0,0,17,2.150076389312744,64,6,0.09375,2.2437299489974976,1152,202.0,0.1753472222222222,0.2852269269997123,5.915843818996109
0,0,18,2.0814058780670166,64,17,0.265625,2.2351865768432617,1216,219.0,0.18009868421052633,0.282579534999968,6.198423353996077
0,0,19,2.1069815158843994,64,14,0.21875,2.2287763237953184,1280,233.0,0.18203125,0.2829356629999893,6.481359016996066
0,0,20,2.0010969638824463,64,13,0.203125,2.2179344495137534,1344,246.0,0.18303571428571427,0.28209424699980445,6.763453263995871
0,0,21,2.0770373344421387,64,17,0.265625,2.2115300351923164,1408,263.0,0.18678977272727273,0.2838276809998206,7.047280944995691
0,0,22,2.106219530105591,64,10,0.15625,2.20695131757985,1472,273.0,0.18546195652173914,0.29527222599972447,7.342553170995416
0,0,23,2.14536190032959,64,18,0.28125,2.204385091861089,1536,291.0,0.189453125,0.29449337200003356,7.637046542995449
0,0,24,2.190504550933838,64,17,0.265625,2.203829870223999,1600,308.0,0.1925,0.2950879059999352,7.9321344489953844
0,0,25,1.9166111946105957,64,22,0.34375,2.192782998085022,1664,330.0,0.19831730769230768,0.28908527699968545,8.22121972599507
0,0,26,2.1132800579071045,64,13,0.203125,2.189838444745099,1728,343.0,0.19849537037037038,0.2826880570000867,8.503907782995157
0,0,27,2.0642876625061035,64,14,0.21875,2.1853544882365634,1792,357.0,0.19921875,0.2852319270004955,8.789139709995652
0,0,28,1.9208054542541504,64,12,0.1875,2.1762321077544113,1856,369.0,0.19881465517241378,0.2851679140003398,9.074307623995992
0,0,29,2.1070592403411865,64,8,0.125,2.173926345507304,1920,377.0,0.19635416666666666,0.28273829800036765,9.35704592199636
0,0,30,2.076359510421753,64,15,0.234375,2.17077902824648,1984,392.0,0.1975806451612903,0.2816927879994182,9.638738709995778
0,0,31,1.8909087181091309,64,19,0.296875,2.1620330810546875,2048,411.0,0.20068359375,0.2860234660001879,9.924762175995966
0,0,32,2.071976661682129,64,9,0.140625,2.1593040986494585,2112,420.0,0.19886363636363635,0.2927170370003296,10.217479212996295
0,0,33,1.9429420232772827,64,19,0.296875,2.152940508197336,2176,439.0,0.20174632352941177,0.2916560000003301,10.509135212996625
0,0,34,1.9999862909317017,64,16,0.25,2.148570387704032,2240,455.0,0.203125,0.29413374299929274,10.803268955995918
0,0,35,2.099591016769409,64,15,0.234375,2.1472098496225147,2304,470.0,0.20399305555555555,0.2942410989999189,11.097510054995837
0,0,36,1.8265764713287354,64,19,0.296875,2.1385440826416016,2368,489.0,0.20650337837837837,0.2835768340000868,11.381086888995924
0,0,37,2.2486062049865723,64,15,0.234375,2.1414404542822587,2432,504.0,0.20723684210526316,0.28317250499912916,11.664259393995053
0,0,38,2.2210772037506104,64,10,0.15625,2.1434824222173448,2496,514.0,0.20592948717948717,0.28286880400082737,11.94712819799588
