,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,0,0,2.3908801078796387,64,10,0.15625,2.3908801078796387,64,10.0,0.15625,0.9471708889999491,0.9471708889999491
0,0,1,2.555954933166504,64,7,0.109375,2.4734175205230713,128,17.0,0.1328125,0.18910428699996373,1.1362751759999128
0,0,2,2.2640411853790283,64,15,0.234375,2.40362540880839,192,32.0,0.16666666666666666,0.18801573900009316,1.324290915000006
0,0,3,2.3255972862243652,64,8,0.125,2.384118378162384,256,40.0,0.15625,0.1882478310000124,1.5125387460000184
0,0,4,2.210848569869995,64,11,0.171875,2.3494644165039062,320,51.0,0.159375,0.1871202390000235,1.6996589850000419
0,0,5,2.4826889038085938,64,9,0.140625,2.371668497721354,384,60.0,0.15625,0.1977609330000405,1.8974199180000824
0,0,6,2.048940896987915,64,19,0.296875,2.3255645547594344,448,79.0,0.17633928571428573,0.1871613079999861,2.0845812260000685
0,0,7,2.192857265472412,64,11,0.171875,2.3089761435985565,512,90.0,0.17578125,0.18796300700000756,2.272544233000076
0,0,8,2.155468702316284,64,14,0.21875,2.2919197612338595,576,104.0,0.18055555555555555,0.18856272100003935,2.4611069540001154
0,0,9,2.170706033706665,64,14,0.21875,2.27979838848114,640,118.0,0.184375,0.19651340699999764,2.657620361000113
0,0,10,2.0821704864501953,64,14,0.21875,2.261832215569236,704,132.0,0.1875,0.18788610800004335,2.8455064690001564
0,0,11,2.2023398876190186,64,11,0.171875,2.2568745215733848,768,143.0,0.18619791666666666,0.18878261399993335,3.0342890830000897
0,0,12,2.1546335220336914,64,10,0.15625,2.2490098293011007,832,153.0,0.18389423076923078,0.18793474999995397,3.2222238330000437
0,0,13,2.0954720973968506,64,15,0.234375,2.238042848450797,896,168.0,0.1875,0.19126586400000178,3.4134896970000455
0,0,14,2.1135661602020264,64,14,0.21875,2.2297444025675457,960,182.0,0.18958333333333333,0.1895051250000961,3.6029948220001415
0,0,15,2.0373144149780273,64,15,0.234375,2.2177175283432007,1024,197.0,0.1923828125,0.18783555899995008,3.7908303810000916
0,0,16,1.8971728086471558,64,19,0.296875,2.1988619565963745,1088,216.0,0.19852941176470587,0.18790698399993744,3.978737365000029
0,0,17,2.0255913734436035,64,14,0.21875,2.1892358130878873,1152,230.0,0.1996527777777778,0.18823631199995816,4.166973676999987
0,0,18,1.8865540027618408,64,19,0.296875,2.1733051914917794,1216,249.0,0.20476973684210525,0.19723977900002865,4.364213456000016
0,0,19,2.010613203048706,64,16,0.25,2.165170592069626,1280,265.0,0.20703125,0.18809134899993296,4.552304804999949
0,0,20,1.8788368701934814,64,17,0.265625,2.1515356529326666,1344,282.0,0.20982142857142858,0.20031633299993246,4.752621137999881
0,0,21,2.1053719520568848,64,17,0.265625,2.149437302892858,1408,299.0,0.21235795454545456,0.19956293799998548,4.952184075999867
0,0,22,1.9868569374084473,64,13,0.203125,2.1423685913500576,1472,312.0,0.21195652173913043,0.18917876599994088,5.141362841999808
0,0,23,2.084958076477051,64,14,0.21875,2.1399764865636826,1536,326.0,0.21223958333333334,0.18856169399998635,5.329924535999794
0,0,24,2.0499417781829834,64,24,0.375,2.1363750982284544,1600,350.0,0.21875,0.1910673190000125,5.5209918549998065
0,0,25,1.8793621063232422,64,18,0.28125,2.126489983155177,1664,368.0,0.22115384615384615,0.18809266699997806,5.709084521999785
0,0,26,2.046137809753418,64,14,0.21875,2.1235139767328897,1728,382.0,0.22106481481481483,0.18736154499993063,5.896446066999715
0,0,27,1.99691903591156,64,19,0.296875,2.118992728846414,1792,401.0,0.22377232142857142,0.188754906999975,6.08520097399969
0,0,28,1.9163317680358887,64,22,0.34375,2.1120044198529473,1856,423.0,0.2279094827586207,0.18872907400009353,6.273930047999784
0,0,29,2.0457398891448975,64,15,0.234375,2.109795602162679,1920,438.0,0.228125,0.18843547899996338,6.462365526999747
0,0,30,2.065676212310791,64,16,0.25,2.1083723960384244,1984,454.0,0.2288306451612903,0.1883817509999517,6.650747277999699
0,0,31,1.8201731443405151,64,21,0.328125,2.099366169422865,2048,475.0,0.23193359375,0.18974231000015607,6.840489587999855
0,0,32,2.0387935638427734,64,11,0.171875,2.097530635920438,2112,486.0,0.23011363636363635,0.1883105039999009,7.028800091999756
0,0,33,1.9000236988067627,64,16,0.25,2.091721608358271,2176,502.0,0.23069852941176472,0.19505242499985798,7.223852516999614
0,0,34,1.918558955192566,64,19,0.296875,2.086774103982108,2240,521.0,0.23258928571428572,0.1899199970000609,7.413772513999675
0,0,35,2.0014278888702393,64,21,0.328125,2.084403375784556,2304,542.0,0.23524305555555555,0.18797253600018848,7.601745049999863
0,0,36,1.7575769424438477,64,22,0.34375,2.0755702289375098,2368,564.0,0.23817567567567569,0.1864606780000031,7.788205727999866
0,0,37,2.057009220123291,64,21,0.328125,2.075081781337136,2432,585.0,0.24054276315789475,0.1886839599999348,7.976889687999801
0,0,38,2.10504150390625,64,13,0.203125,2.0758499793517284,2496,598.0,0.23958333333333334,0.19001804100003028,8.166907728999831
0,0,39,2.030661106109619,64,17,0.265625,2.0747202575206756,2560,615.0,0.240234375,0.19033358199999384,8.357241310999825
0,0,40,1.845438838005066,64,16,0.25,2.0691280277763924,2624,631.0,0.24047256097560976,0.18951865100007126,8.546759961999896
0,0,41,1.8806602954864502,64,21,0.328125,2.064640700817108,2688,652.0,0.2425595238095238,0.1897054250000565,8.736465386999953
0,0,42,2.0295209884643555,64,18,0.28125,2.0638239633205324,2752,670.0,0.24345930232558138,0.1899499769999693,8.926415363999922
0,0,43,1.9922512769699097,64,19,0.296875,2.0621973113580183,2816,689.0,0.24467329545454544,0.19937271200001305,9.125788075999935
0,0,44,1.938424825668335,64,14,0.21875,2.0594468116760254,2880,703.0,0.24409722222222222,0.19109921200015378,9.316887288000089
0,0,45,1.899582028388977,64,22,0.34375,2.05597149030022,2944,725.0,0.24626358695652173,0.18872788999988188,9.505615177999971
0,0,46,1.9077305793762207,64,19,0.296875,2.0528174283656666,3008,744.0,0.2473404255319149,0.19430585700001757,9.699921034999988
0,0,47,1.867323875427246,64,24,0.375,2.0489529793461165,3072,768.0,0.25,0.18984435800007304,9.889765393000062
0,0,48,2.0724687576293945,64,14,0.21875,2.0494328931886323,3136,782.0,0.2493622448979592,0.19837402999996812,10.08813942300003
0,0,49,1.7567148208618164,64,24,0.375,2.043578531742096,3200,806.0,0.251875,0.19724436000001333,10.285383783000043
0,0,50,2.0374057292938232,64,16,0.25,2.0434574963999728,3264,822.0,0.25183823529411764,0.18954805400016994,10.474931837000213
0,0,51,1.8608593940734863,64,18,0.28125,2.039945994432156,3328,840.0,0.25240384615384615,0.18959347700001672,10.66452531400023
0,0,52,1.9681823253631592,64,18,0.28125,2.038591962940288,3392,858.0,0.2529481132075472,0.1907270909998715,10.855252405000101
