epoch_num,rank_num,Loss,Total,Correct,Acc@1,TrainingTime
0,0,1.932303259922908,12480,3545.0,0.28405448717948717,5.167147936999854
0,1,1.9348827753311548,12480,3521.0,0.28213141025641025,5.160358349000148
0,2,1.9203556213623438,12480,3610.0,0.28926282051282054,5.115158736999973
0,3,1.9255987344644008,12480,3572.0,0.2862179487179487,5.05273412199972
1,0,1.6399557676070775,12480,5104.0,0.40897435897435896,4.278497609000283
1,1,1.6482822179794312,12480,5044.0,0.4041666666666667,4.232213770999465
1,2,1.6480737942915695,12480,5033.0,0.4032852564102564,4.147856486000251
1,3,1.6503951873534766,12480,5052.0,0.4048076923076923,4.121797820999689
2,0,1.534779460613544,12480,5583.0,0.44735576923076925,4.20684323500069
2,1,1.5265210047746316,12480,5572.0,0.446474358974359,4.2373933800000145
2,2,1.5306299967643542,12480,5527.0,0.4428685897435897,4.1049605569986625
2,3,1.538461892421429,12480,5538.0,0.44375,4.13855470099935
3,0,1.4706085162285047,12480,5858.0,0.46939102564102564,4.2960062119990425
3,1,1.4689976086983314,12480,5793.0,0.4641826923076923,4.274527611000622
3,2,1.4613704779209236,12480,5946.0,0.47644230769230766,4.186831344998836
3,3,1.464417101175357,12480,5835.0,0.4675480769230769,4.169586470000127
4,0,1.4102862437566122,12480,6120.0,0.49038461538461536,4.154068756000356
4,1,1.4374600722239568,12480,6036.0,0.48365384615384616,4.264973277999275
4,2,1.3784769602310962,12480,6289.0,0.5039262820512821,4.115706571998999
4,3,1.4092723222879262,12480,6170.0,0.49439102564102566,4.138298068000495
5,0,1.3658942791131827,12480,6394.0,0.5123397435897435,4.057430574000591
5,1,1.3644675095876058,12480,6359.0,0.5095352564102564,4.206388347000711
5,2,1.3477908696883765,12480,6413.0,0.5138621794871795,4.153301274999876
5,3,1.3729723098950508,12480,6355.0,0.5092147435897436,4.090406231998259
6,0,1.322740521797767,12480,6515.0,0.5220352564102564,3.9899923000023136
6,1,1.3308234333992004,12480,6511.0,0.5217147435897436,4.1978536960007204
6,2,1.3052197563342558,12480,6557.0,0.525400641025641,4.172962787000188
6,3,1.3038457204134037,12480,6610.0,0.5296474358974359,4.0790581249984825
7,0,1.278346828925304,12480,6690.0,0.5360576923076923,5.217165934999002
7,1,1.2644552038266108,12480,6814.0,0.5459935897435897,5.722463766000146
7,2,1.2766764463522495,12480,6665.0,0.5340544871794872,5.351353694001546
7,3,1.2878180509958512,12480,6749.0,0.5407852564102564,5.391449337000267
8,0,1.2473671069512,12480,6932.0,0.555448717948718,4.02190280800005
8,1,1.2439227920312148,12480,6892.0,0.5522435897435898,4.164531249001584
8,2,1.251369266326611,12480,6871.0,0.5505608974358974,4.141504580001083
8,3,1.2392433744210463,12480,6881.0,0.5513621794871795,4.021538583999927
9,0,1.2160363658880575,12480,7091.0,0.5681891025641026,3.949717200999885
9,1,1.1853008505625602,12480,7152.0,0.573076923076923,4.079373554998256
9,2,1.2296315770882826,12480,6965.0,0.5580929487179487,4.120299268000508
9,3,1.2176604983134147,12480,7012.0,0.5618589743589744,3.9634791109997423
10,0,1.1748822034933628,12480,7236.0,0.5798076923076924,3.971511327998087
10,1,1.1775883705188066,12480,7246.0,0.5806089743589744,4.088459494000745
10,2,1.1842109964444087,12480,7108.0,0.569551282051282,4.110565476999
10,3,1.1740991063607045,12480,7203.0,0.5771634615384615,3.8687320899935003
11,0,1.154972211519877,12480,7305.0,0.5853365384615384,3.955004321002434
11,1,1.1377239988400385,12480,7384.0,0.5916666666666667,4.124083199001234
11,2,1.155301778133099,12480,7297.0,0.5846955128205128,4.09891212499906
11,3,1.1532759015376752,12480,7303.0,0.585176282051282,3.8345061930017437
12,0,1.1142500217144307,12480,7519.0,0.6024839743589744,3.9483106420020704
12,1,1.1104819404773223,12480,7531.0,0.6034455128205128,4.119967999002256
12,2,1.1158267326844045,12480,7469.0,0.5984775641025641,4.070164201998068
12,3,1.11958683240108,12480,7477.0,0.5991185897435898,3.8402117299988276
13,0,1.0933905311119863,12480,7557.0,0.6055288461538462,3.99001361099954
13,1,1.0848565557064154,12480,7613.0,0.6100160256410256,4.04821297799981
13,2,1.091050680478414,12480,7652.0,0.6131410256410257,4.126871000000847
13,3,1.079152567875691,12480,7705.0,0.6173878205128205,3.8782889850017455
14,0,1.0775786072779925,12480,7657.0,0.6135416666666667,3.966461837002498
14,1,1.051243513975388,12480,7778.0,0.6232371794871795,4.121646521998628
14,2,1.0507739504178366,12480,7755.0,0.6213942307692307,4.098221657999147
14,3,1.0531624136826931,12480,7760.0,0.6217948717948718,3.908999911997853
15,0,1.034964983891218,12480,7874.0,0.6309294871794872,4.008896505002667
15,1,1.0288936880918649,12480,7863.0,0.630048076923077,4.1853652350027915
15,2,1.0451735007457243,12480,7847.0,0.6287660256410257,4.167819978998523
15,3,1.038354661831489,12480,7878.0,0.63125,3.9685948570022447
16,0,0.9969253967969846,12480,8080.0,0.6474358974358975,3.9826392220020352
16,1,1.0175903937755486,12480,7958.0,0.6376602564102564,4.137900504003483
16,2,1.0004156757623721,12480,7979.0,0.6393429487179487,4.142720298999848
16,3,1.016948333153358,12480,7896.0,0.6326923076923077,3.9155662189969007
17,0,0.9754185973069607,12480,8185.0,0.6558493589743589,3.970131364000281
17,1,0.9773852061002682,12480,8067.0,0.6463942307692307,4.016652021997743
17,2,0.9851458256061261,12480,8066.0,0.6463141025641026,4.158999020998635
17,3,0.9898351259720631,12480,8031.0,0.6435096153846154,3.846044860001257
18,0,0.9587145961247958,12480,8193.0,0.6564903846153847,4.008386684998641
