,,,BatchLoss,BatchTotal,BatchCorrect,BatchAcc@1,Loss,Total,Correct,Acc@1,BatchTrainingTime,TrainingTime
0,0,0,2.585562229156494,64,6,0.09375,2.585562229156494,64,6.0,0.09375,1.5266261810002106,1.5266261810002106
0,0,1,2.4700868129730225,64,8,0.125,2.5278245210647583,128,14.0,0.109375,0.19178597400059516,1.7184121550008058
0,0,2,2.3126325607299805,64,8,0.125,2.4560938676198325,192,22.0,0.11458333333333333,0.19047567899997375,1.9088878340007795
0,0,3,2.252593755722046,64,9,0.140625,2.4052188396453857,256,31.0,0.12109375,0.19476451799982897,2.1036523520006085
0,0,4,2.227055549621582,64,10,0.15625,2.369586181640625,320,41.0,0.128125,0.1918834499992954,2.295535801999904
0,0,5,2.61746883392334,64,1,0.015625,2.4108999570210776,384,42.0,0.109375,0.19223722399965482,2.4877730259995587
0,0,6,2.0528154373168945,64,12,0.1875,2.3597450256347656,448,54.0,0.12053571428571429,0.19356830300057482,2.6813413290001336
0,0,7,2.218080997467041,64,12,0.1875,2.3420370221138,512,66.0,0.12890625,0.19398148500022216,2.8753228140003557
0,0,8,2.1310043334960938,64,16,0.25,2.3185889456007214,576,82.0,0.1423611111111111,0.19145818000015424,3.06678099400051
0,0,9,2.2002599239349365,64,14,0.21875,2.306756043434143,640,96.0,0.15,0.19231775800017203,3.259098752000682
0,0,10,2.14188814163208,64,8,0.125,2.291768052361228,704,104.0,0.14772727272727273,0.1901368540002295,3.4492356060009115
0,0,11,2.1691973209381104,64,15,0.234375,2.2815538247426352,768,119.0,0.15494791666666666,0.19044251699961023,3.6396781230005217
0,0,12,2.14614200592041,64,13,0.203125,2.271137530987079,832,132.0,0.15865384615384615,0.19435667900052067,3.8340348020010424
0,0,13,2.1982343196868896,64,9,0.140625,2.2659301587513516,896,141.0,0.15736607142857142,0.19641095400038466,4.030445756001427
0,0,14,2.1448073387145996,64,13,0.203125,2.2578553040822347,960,154.0,0.16041666666666668,0.19348343399997248,4.2239291900013995
0,0,15,2.060493230819702,64,18,0.28125,2.2455201745033264,1024,172.0,0.16796875,0.19813653599976533,4.422065726001165
0,0,16,1.9432520866394043,64,23,0.359375,2.227739698746625,1088,195.0,0.1792279411764706,0.19834021999940887,4.620405946000574
